,VER,PER,SAI,LEC,RUS,NOR,HAM,PIA,ALO,STR,ZHO,MAG,RIC,TSU,ALB,HUL,OCO,GAS,BOT,SAR
23.0,0.0,10.046000000000276,12.291000000000167,18.886000000000422,17.6220000000003,21.6279999999997,27.550000000000182,24.217999999999847,37.10599999999977,44.027000000000044,41.016999999999825,45.80699999999979,48.86200000000008,42.10599999999977,46.51500000000033,74.63299999999981,51.6279999999997,55.185999999999694,54.345000000000255,132.41600000000017
24.0,0.0,10.967999999999847,13.202000000000226,20.52100000000064,19.069000000000415,23.162000000000262,28.92700000000059,25.813000000000102,38.863000000000284,46.876000000000204,43.6220000000003,48.67399999999998,51.33899999999994,44.45100000000002,49.43000000000029,75.97000000000025,54.759000000000015,58.08899999999994,57.202000000000226,136.5640000000003
25.0,0.0,11.969999999999345,14.079999999999927,21.938999999999396,20.654999999999745,24.549999999999272,30.503999999999905,27.47899999999936,40.69999999999982,49.52799999999934,46.162999999999556,51.62199999999939,53.969999999999345,46.960000000000036,52.313999999999396,77.27999999999975,57.91100000000006,60.90699999999924,60.12199999999939,140.3149999999996
26.0,0.0,13.094000000000051,15.07799999999952,23.52599999999984,22.232999999999265,25.89300000000003,31.99499999999989,29.13799999999992,43.11499999999978,52.4380000000001,48.93499999999949,54.49199999999928,56.77599999999984,49.79500000000007,55.1909999999998,78.60499999999956,61.353000000000065,64.0630000000001,63.206999999999425,142.95100000000002
27.0,0.0,13.745999999999185,15.768999999999323,24.77599999999984,23.466999999999643,27.037999999999556,33.61499999999978,30.461999999999534,44.47899999999936,57.56700000000001,51.40699999999924,57.136999999999716,59.34699999999975,52.29699999999957,57.90599999999995,79.67099999999937,64.32099999999991,66.8819999999996,66.05199999999968,145.65799999999945
28.0,0.0,14.49499999999989,16.826000000000022,26.20600000000013,24.90099999999984,28.578999999999724,34.82999999999993,31.889999999999418,46.25799999999981,78.72999999999956,56.60499999999956,59.59599999999955,61.914999999999964,54.98399999999947,60.47699999999986,81.44799999999941,67.21599999999944,70.01999999999953,69.17000000000007,150.71599999999944
29.0,0.0,15.139000000000124,17.63299999999981,27.376000000000204,26.173999999999978,29.827000000000226,35.82300000000032,33.27599999999984,47.569000000000415,78.79100000000017,77.88799999999992,61.76800000000003,64.08200000000033,56.96799999999985,62.5630000000001,82.49200000000019,69.97900000000027,72.77700000000004,72.03099999999995,176.5039999999999
30.0,0.0,15.681000000000495,18.199000000000524,28.76299999999992,27.588999999999942,31.04200000000037,37.29600000000028,34.6820000000007,48.780000000000655,78.65200000000004,77.57500000000073,64.03700000000026,66.28900000000067,58.67399999999998,64.76000000000022,83.41200000000026,75.41800000000057,75.83800000000065,77.51200000000063,176.44800000000032
31.0,0.0,16.34100000000035,19.05699999999979,30.11499999999978,31.31500000000051,32.44599999999991,38.59200000000055,36.57300000000032,50.05799999999999,79.17500000000018,78.19300000000021,66.35800000000017,68.76400000000012,60.46300000000065,67.21600000000035,84.3110000000006,99.0610000000006,80.59100000000035,152.10699999999997,177.48199999999997
32.0,0.0,16.730999999999767,19.932999999999993,31.170000000000073,52.69599999999991,33.73099999999977,40.03099999999995,37.849999999999454,51.228000000000065,79.10999999999967,78.35499999999956,71.03699999999935,70.90300000000025,62.42399999999998,69.51299999999992,85.35999999999967,100.0619999999999,104.47499999999945,152.98399999999947,178.15899999999965
33.0,0.0,17.4320000000007,20.626000000000204,32.048000000000684,52.67100000000028,37.4940000000006,43.86400000000049,39.07500000000073,52.56700000000001,79.59600000000046,80.46300000000065,91.82900000000063,73.19000000000051,64.0590000000002,71.9960000000001,86.28100000000086,100.90300000000025,104.72400000000016,153.32300000000032,179.72900000000027
