,RUS,HAM,SAI,LEC,VER,NOR,PIA,HUL,TSU,PER,ALO,MAG,ZHO,COL,STR,LAW,OCO,BOT,ALB,GAS
32.0,0.0,27.652999999999338,32.83899999999994,34.3179999999993,29.13499999999931,44.96599999999944,53.961999999999534,39.41600000000017,59.50500000000011,52.10499999999956,63.237999999999374,66.1289999999999,54.6909999999998,72.2559999999994,79.39199999999983,56.54599999999937,55.951999999999316,73.1909999999998,,
33.0,0.0,11.243000000000393,16.659999999999854,18.632000000000517,13.011000000000422,29.149000000000342,38.94800000000032,29.170000000000073,43.84600000000046,52.975000000000364,47.16899999999987,50.15700000000015,40.436000000000604,56.44300000000021,63.60699999999997,42.426000000000386,41.6850000000004,59.68299999999999,,
34.0,0.0,10.306999999999789,16.1850000000004,18.092000000000553,12.873999999999796,29.11499999999978,39.168000000000575,46.6850000000004,44.3130000000001,52.615999999999985,47.48000000000047,50.21600000000035,46.95899999999983,56.240999999999985,63.814000000000306,45.32999999999993,43.30199999999968,62.89000000000033,,
35.0,0.0,9.457999999999629,15.579999999999927,17.327000000000226,12.871000000000095,29.22400000000016,39.353000000000065,47.48400000000038,45.23999999999978,52.48199999999997,48.11700000000019,50.34100000000035,65.29500000000007,55.97599999999966,66.00200000000041,47.128999999999905,45.69599999999991,73.23899999999958,,
36.0,0.0,8.725000000000364,15.07800000000043,16.59100000000035,12.851000000000568,29.048000000000684,39.53300000000036,48.19300000000021,46.733000000000175,52.444000000000415,49.949000000000524,51.363000000000284,66.22400000000016,56.32900000000063,67.58700000000044,50.639000000000124,49.009000000000015,93.28700000000026,,
37.0,0.0,8.057999999999993,14.743000000000393,15.923999999999978,12.726999999999862,28.67700000000059,39.42900000000009,48.875,47.48900000000049,54.207000000000335,50.92500000000018,55.0659999999998,66.93299999999999,56.35199999999986,68.44500000000062,54.51500000000033,51.673000000000684,93.94900000000052,,
38.0,0.0,7.798999999999978,14.46100000000024,15.596000000000458,13.298999999999978,28.716999999999643,40.628999999999905,49.996000000000095,49.228000000000065,55.34199999999964,52.08300000000054,58.09900000000016,68.04100000000017,58.49499999999989,69.9930000000004,63.36999999999989,54.871000000000095,94.63400000000001,,
39.0,0.0,7.403999999999542,14.381999999999607,15.422999999999774,13.367999999999483,28.678999999999178,41.49799999999959,50.948999999999614,50.7549999999992,57.67999999999938,52.360999999999876,59.680999999999585,68.95499999999993,60.193999999999505,71.74499999999989,81.58199999999943,58.17199999999957,95.2489999999998,,
40.0,0.0,6.97400000000016,14.067000000000007,14.739000000000487,13.50500000000011,28.16400000000067,42.72600000000057,52.27800000000025,52.02100000000064,58.858000000000175,53.17700000000059,61.15400000000045,69.51000000000022,62.405000000000655,72.86000000000058,83.39000000000033,61.637000000000626,98.4990000000007,,
41.0,0.0,5.895000000000437,14.015000000000327,14.649000000000342,14.467999999999847,27.587999999999738,43.35500000000047,53.94499999999971,53.6850000000004,58.8779999999997,54.29899999999998,62.539999999999964,69.95399999999972,64.31999999999971,73.77099999999973,84.29399999999987,64.9970000000003,100.23999999999978,,
42.0,0.0,5.4350000000004,13.894000000000233,15.177999999999884,14.613000000000284,26.845000000000255,44.305999999999585,55.600000000000364,55.0619999999999,58.85999999999967,56.03300000000036,63.751000000000204,70.79299999999967,65.16300000000047,74.79700000000048,85.26800000000003,67.45200000000023,102.23700000000008,,
43.0,0.0,5.346999999999753,14.24499999999989,15.282000000000153,14.909999999999854,26.770000000000437,45.452000000000226,57.20499999999993,56.58899999999994,59.399999999999636,57.85699999999997,65.68099999999959,71.60800000000017,66.14099999999962,76.02499999999964,86.51199999999972,70.28399999999965,103.34799999999996,,
44.0,0.0,5.063000000000102,14.173999999999978,15.878999999999905,15.243000000000393,26.350999999999658,46.10400000000027,58.152000000000044,58.61899999999969,60.490999999999985,59.664999999999964,67.51900000000023,72.74399999999969,67.96900000000005,78.9989999999998,87.66799999999967,73.26600000000053,104.02300000000014,,
