,PIA,LEC,RUS,NOR,VER,ALO,ALB,COL,HAM,BEA,HUL,GAS,RIC,ZHO,OCO,BOT,PER,SAI,STR,TSU
28.0,0.0,0.15200000000004366,21.150000000000546,19.807999999999993,20.429000000000087,34.81700000000001,19.416000000000167,37.163000000000466,46.97100000000046,45.27400000000034,41.275000000000546,44.83400000000074,58.50500000000011,66.04600000000028,68.17399999999998,78.94500000000062,1.8380000000006476,10.975000000000364,82.22500000000036,
29.0,0.0,0.40899999999965075,22.54699999999957,21.47400000000016,22.04399999999987,35.99799999999959,21.001999999999498,38.485999999999876,47.146999999999935,46.376000000000204,41.987999999999374,46.21299999999974,59.89800000000014,68.13000000000011,70.09900000000016,80.66499999999996,1.8699999999998909,10.822000000000116,83.22699999999986,
30.0,0.0,0.27599999999983993,23.853000000000065,22.722999999999956,23.376999999999498,37.925999999999476,22.381999999999607,39.8119999999999,47.97999999999956,46.76099999999951,42.590000000000146,49.826999999999316,61.46799999999985,70.21000000000004,71.92299999999977,82.41399999999976,1.7449999999998909,10.98700000000008,84.23099999999977,
31.0,0.0,0.46600000000034925,24.322000000000116,23.60199999999986,24.300000000000182,38.98199999999997,26.940999999999804,40.840000000000146,48.1850000000004,46.39000000000033,42.771999999999935,51.222999999999956,62.49300000000039,72.08100000000013,73.70200000000023,83.89699999999993,1.7489999999997963,10.452000000000226,84.45600000000013,
32.0,0.0,0.16499999999996362,25.238999999999578,23.399999999999636,24.55699999999979,40.92699999999968,44.761999999999716,41.55499999999938,47.91699999999946,46.402000000000044,43.822000000000116,52.310999999999694,63.02599999999984,73.30299999999988,74.98599999999988,85.04299999999967,1.2439999999996871,9.646999999999935,85.17000000000007,
33.0,0.0,0.6649999999999636,24.509000000000015,22.911000000000058,24.420000000000073,41.3159999999998,43.87700000000041,42.485999999999876,46.810999999999694,46.54399999999987,43.197000000000116,52.64900000000034,63.04700000000048,74.0659999999998,75.63600000000042,88.08399999999983,1.25,8.416000000000167,86.30199999999968,
34.0,0.0,0.5720000000001164,24.025000000000546,22.51800000000003,25.73700000000008,42.64900000000034,44.50600000000031,43.720000000000255,47.98500000000058,46.95900000000074,43.960000000000036,53.45900000000074,63.66900000000078,79.9360000000006,77.09200000000055,89.75500000000011,1.4660000000003492,7.891000000000531,86.96700000000055,
35.0,0.0,0.39399999999932334,23.90599999999995,22.363999999999578,25.911999999999352,44.360999999999876,46.417999999999665,45.63599999999951,48.16199999999935,47.792999999999665,45.5679999999993,54.469999999999345,64.71699999999964,98.38400000000001,78.10199999999986,91.16499999999996,1.8539999999993597,7.3799999999992,87.58699999999953,
36.0,0.0,0.568000000000211,23.713999999999942,22.0,25.756999999999607,44.694000000000415,46.5,48.621000000000095,49.19200000000001,48.73899999999958,46.23700000000008,55.54699999999957,65.59900000000016,98.8149999999996,86.06800000000021,92.32999999999993,2.4989999999997963,6.979999999999563,88.38400000000001,
37.0,0.0,0.5420000000003711,23.666000000000167,25.18000000000029,25.302999999999884,44.72599999999966,47.03700000000026,50.99300000000039,52.00600000000031,51.44300000000021,46.89500000000044,56.46799999999985,66.36499999999978,99.06999999999971,87.76599999999962,93.34400000000005,2.9700000000002547,7.5020000000004075,88.94899999999961,
38.0,0.0,0.3760000000002037,23.63299999999981,39.98900000000049,24.903000000000247,45.17500000000018,47.47900000000027,52.83100000000013,53.54399999999987,53.32099999999991,48.85100000000057,57.702000000000226,67.54700000000048,99.76600000000053,89.19599999999991,94.4980000000005,3.074999999999818,6.936000000000604,90.17000000000007,
39.0,0.0,0.47700000000077125,22.9950000000008,37.875,24.467000000000553,45.3690000000006,47.82000000000062,54.08899999999994,55.03200000000015,54.39500000000044,49.712000000000444,58.66400000000067,68.15100000000075,99.99099999999999,90.36400000000049,95.73400000000038,2.9310000000004948,6.389000000000124,90.70600000000013,
40.0,0.0,0.2460000000000946,22.274000000000342,35.996000000000095,23.881999999999607,45.36700000000019,47.711999999999534,54.78399999999965,55.886999999999716,55.840000000000146,50.115999999999985,59.44599999999991,68.8819999999996,100.28399999999965,91.91600000000017,96.51400000000012,2.8189999999995052,5.631999999999607,92.39000000000033,
41.0,0.0,0.2789999999995416,21.251000000000204,34.225000000000364,23.532000000000153,45.44800000000032,47.789999999999964,55.32499999999982,56.503999999999905,58.59400000000005,50.23400000000038,60.29600000000028,69.54699999999957,100.40899999999965,93.10000000000036,97.05699999999979,2.0330000000003565,5.2150000000001455,94.18499999999949,
42.0,0.0,0.568000000000211,20.40899999999965,31.79199999999946,22.641999999999825,45.110999999999876,47.3149999999996,55.470000000000255,56.115999999999985,58.78899999999976,50.23700000000008,61.43499999999949,70.72199999999975,100.77499999999964,94.72699999999986,98.11099999999988,1.4839999999994689,4.454999999999927,96.04399999999987,
