,LEC,PIA,NOR,SAI,HAM,VER,RUS,PER,ALB,MAG,ALO,COL,RIC,OCO,GAS,BOT,HUL,ZHO,STR,TSU
21.0,9.892000000000735,7.219000000000051,8.807999999999993,19.751000000000204,20.936000000000604,0.0,30.572000000000116,3.1190000000005966,38.78300000000036,40.1840000000002,33.22600000000057,49.10600000000068,44.173000000000684,24.207000000000335,39.65400000000045,32.95000000000073,52.887000000000626,57.694000000000415,50.4320000000007,
22.0,4.832000000000335,2.037999999999556,3.631999999999607,15.149000000000342,16.72099999999955,0.8400000000001455,26.454999999999927,0.0,35.00799999999981,36.42699999999968,29.84900000000016,45.13000000000011,40.42500000000018,21.70600000000013,35.930999999999585,31.52599999999984,49.623999999999796,54.74200000000019,46.32499999999982,
23.0,2.9979999999995925,0.0,1.514999999999418,14.00799999999981,15.154999999999745,22.980999999999767,25.380999999999403,4.170999999999367,34.44200000000001,35.78599999999915,29.167999999999665,44.08099999999922,39.57499999999982,22.208999999999833,36.39399999999932,32.77099999999973,49.55799999999999,55.10499999999956,45.28599999999915,
24.0,3.32300000000032,0.0,1.8010000000003856,14.375,15.658000000000357,23.21100000000024,26.686999999999898,25.872999999999593,36.32300000000032,37.60199999999986,30.440999999999804,45.40099999999984,41.1909999999998,25.66399999999976,38.96100000000024,35.99799999999959,51.85099999999966,57.83100000000013,46.73899999999958,
25.0,3.6829999999999927,0.0,1.8920000000007349,14.832000000000335,16.23199999999997,23.782000000000153,28.631000000000313,26.752000000000407,37.80000000000018,39.876000000000204,31.715000000000146,47.087000000000444,43.00800000000072,29.95300000000043,41.71900000000005,39.63100000000031,54.337000000000444,60.1840000000002,48.25200000000041,
26.0,3.8710000000000946,0.0,2.2280000000000655,15.201999999999316,16.771999999999935,24.266999999999825,29.07299999999941,27.59400000000005,39.73199999999997,41.94200000000001,33.51899999999932,48.59299999999985,44.78099999999995,33.20299999999952,44.32799999999952,43.38299999999981,56.710000000000036,62.599999999999454,49.60999999999967,
27.0,4.317000000000007,0.0,2.407000000000153,15.61700000000019,17.179000000000087,24.70299999999952,29.716999999999643,28.289999999999964,41.59299999999985,43.49399999999969,35.322000000000116,50.0019999999995,47.287999999999556,36.840000000000146,48.430999999999585,46.60400000000027,59.29600000000028,65.11499999999978,50.95899999999983,
28.0,4.432999999999993,0.0,2.3060000000004948,16.200000000000728,17.65099999999984,25.04399999999987,29.9320000000007,28.720000000000255,43.21799999999985,44.740999999999985,36.878999999999905,51.83899999999994,49.5,39.6850000000004,51.08600000000024,49.24000000000069,61.55799999999999,67.64600000000064,52.40900000000056,
29.0,4.595999999999549,0.0,2.5399999999999636,16.60699999999997,18.091999999999643,25.42999999999938,30.381999999999607,29.50799999999981,45.02299999999923,46.47399999999925,38.823999999999614,54.40699999999924,51.26899999999932,42.71799999999985,54.09899999999925,53.000999999999294,64.0619999999999,70.09499999999935,54.73999999999978,
30.0,4.98700000000008,0.0,3.1859999999996944,17.222999999999956,18.568999999999505,26.003999999999905,30.59099999999944,30.014000000000124,46.80899999999929,48.07899999999972,40.89499999999953,56.85099999999966,53.27099999999973,45.774999999999636,62.13499999999931,56.05499999999938,66.72199999999975,72.61799999999948,58.14899999999943,
