,NOR,SAI,LEC,HAM,RUS,VER,GAS,HUL,ALO,PIA,ALB,TSU,ZHO,STR,DOO,MAG,LAW,BOT,COL,PER
28.0,0.0,2.25,21.10899999999947,12.655999999999949,24.110999999999876,9.82799999999952,26.33299999999963,27.675999999999476,33.98199999999997,35.745999999999185,43.04599999999937,54.72199999999975,45.00999999999931,40.16399999999976,58.76299999999992,41.964999999999236,75.33699999999953,61.86499999999978,,
29.0,0.0,2.2100000000000364,21.230000000000473,13.972999999999956,24.152000000000044,13.246000000000095,27.302999999999884,29.02100000000064,35.371000000000095,37.04200000000037,44.689000000000306,55.86499999999978,46.81500000000051,41.887000000000626,60.53600000000006,45.375,79.22000000000025,64.11700000000019,,
30.0,0.0,2.1589999999996508,21.60399999999936,15.22399999999925,24.266999999999825,44.5059999999994,28.318999999999505,30.107999999999265,37.03600000000006,38.71399999999994,46.28899999999976,57.14099999999962,48.82099999999991,43.78199999999924,62.42000000000007,79.11999999999989,114.39799999999923,119.4359999999997,,
31.0,0.0,2.1849999999994907,21.72699999999986,16.575999999999112,24.885999999999513,44.23199999999997,29.519999999999527,31.472999999999956,38.547999999999774,40.52099999999973,48.034999999999854,58.53599999999915,51.0679999999993,46.115999999999985,64.1299999999992,103.1259999999993,115.63499999999931,,,
32.0,0.0,2.1039999999993597,21.84900000000016,17.963999999999942,24.91899999999987,44.34599999999955,30.7529999999997,32.73499999999967,40.11999999999989,43.73399999999947,49.45799999999963,60.02599999999984,52.865999999999985,49.92999999999938,66.11999999999989,101.94700000000012,116.65499999999975,,,
33.0,0.0,2.3479999999999563,22.240999999999985,19.42699999999968,25.40399999999954,44.552999999999884,32.14300000000003,33.9399999999996,41.83299999999963,76.05599999999959,51.04399999999987,61.64099999999962,54.753999999999905,71.85099999999966,68.125,102.99599999999919,117.77899999999954,,,
34.0,0.0,2.4909999999999854,22.66900000000078,23.110999999999876,25.66900000000078,44.85400000000027,33.46600000000035,35.36700000000019,43.375,76.52400000000034,52.70400000000063,63.09900000000016,56.55799999999999,73.33200000000033,70.04200000000037,104.34500000000025,118.98599999999988,,,
35.0,0.0,2.73700000000008,23.007000000000517,43.85900000000038,26.168000000000575,45.990999999999985,34.99200000000019,36.751000000000204,45.626000000000204,76.7430000000004,54.413000000000466,64.61499999999978,58.418000000000575,74.75600000000031,71.78099999999995,105.75300000000061,120.15499999999975,,,
36.0,0.0,3.229000000000269,23.221999999999753,43.78700000000026,26.79399999999987,46.672999999999774,36.4380000000001,38.33300000000054,48.17000000000007,76.79899999999998,56.077000000000226,66.07499999999982,60.29600000000028,75.73400000000038,73.35500000000047,107.05400000000009,121.58700000000044,,,
37.0,0.0,3.355000000000473,23.451000000000022,43.452000000000226,27.21600000000035,47.01000000000022,37.574000000000524,39.53400000000056,52.09299999999985,77.19200000000001,57.577000000000226,67.625,61.927999999999884,76.45600000000013,74.77400000000034,107.97400000000016,123.07300000000032,,,
38.0,0.0,3.5510000000003856,23.733000000000175,43.60599999999977,27.771999999999935,47.46299999999974,39.172999999999774,41.3090000000002,73.8149999999996,77.52300000000014,59.259000000000015,69.18000000000029,63.75699999999961,78.42600000000039,76.3680000000004,108.72199999999975,124.65800000000036,,,
39.0,0.0,3.7150000000001455,24.108000000000175,43.84699999999975,28.34099999999944,47.998999999999796,40.73399999999947,42.78299999999945,74.78999999999996,77.96900000000005,61.034999999999854,70.67999999999938,67.74699999999939,80.11899999999969,79.27099999999973,109.80400000000009,126.35699999999997,,,
40.0,0.0,4.670000000000073,24.96600000000035,43.865999999999985,29.088000000000648,48.637000000000626,42.39900000000034,45.48000000000047,76.02000000000044,78.58700000000044,62.87700000000041,72.53999999999996,96.53600000000006,81.44900000000052,82.55100000000039,111.01400000000012,127.84500000000025,,,
