,VER,PER,LEC,PIA,ALO,RUS,BEA,NOR,HAM,HUL,ALB,MAG,OCO,SAR,TSU,RIC,BOT,ZHO,STR,GAS
34.0,0.0,8.195999999999913,18.842000000000553,28.4350000000004,33.210000000000036,34.57000000000062,40.40599999999995,24.074999999999818,28.249000000000706,72.77800000000025,76.03800000000047,74.9390000000003,75.3060000000005,77.5659999999998,76.92600000000039,78.77700000000004,80.36300000000028,62.051000000000386,,
35.0,0.0,8.07800000000043,19.319000000000415,30.016999999999825,34.069000000000415,35.11499999999978,41.13600000000042,25.110000000000582,29.454999999999927,73.34799999999996,78.55200000000059,76.32600000000002,76.83100000000013,79.7460000000001,79.17100000000028,80.89900000000034,85.6909999999998,63.92000000000007,,
36.0,0.0,8.027999999999338,19.820999999999913,30.63299999999981,34.67000000000007,35.826999999999316,41.77599999999984,26.269999999999527,33.009000000000015,73.94999999999982,80.1259999999993,77.67299999999977,78.21699999999964,81.90899999999965,81.11599999999999,83.40599999999995,107.52700000000004,65.78899999999976,,
37.0,0.0,7.889000000000124,20.08300000000054,31.155000000000655,35.374000000000706,36.673000000000684,42.41600000000017,30.533000000000357,50.082000000000335,74.78600000000006,81.65300000000025,78.77700000000004,79.61500000000069,83.72500000000036,82.93700000000081,85.1190000000006,108.19500000000062,67.50900000000001,,
38.0,0.0,8.304000000000087,20.41899999999987,31.945999999999913,36.01500000000033,37.39500000000044,42.82800000000043,49.08600000000024,49.53200000000015,75.64300000000003,83.02999999999975,79.90999999999985,81.16399999999976,85.19200000000001,84.60199999999986,86.64400000000023,108.82600000000002,69.12700000000041,,
39.0,0.0,8.65900000000056,21.14600000000064,32.626000000000204,36.712000000000444,38.00700000000052,43.58899999999994,49.197000000000116,49.85199999999986,76.69300000000021,84.53899999999976,81.1180000000004,83.21600000000035,87.16700000000037,86.5010000000002,88.6230000000005,109.85900000000038,71.04700000000048,,
40.0,0.0,8.823999999999614,20.872999999999593,32.67399999999998,36.58399999999983,37.939000000000306,43.64099999999962,48.58600000000024,49.66700000000037,77.06999999999971,85.40800000000036,81.49299999999948,84.3769999999995,88.15899999999965,87.54699999999957,89.5619999999999,110.47900000000027,72.22800000000007,,
41.0,0.0,8.813000000000102,20.885999999999513,32.728000000000065,36.75500000000011,37.90599999999995,43.84100000000035,48.1899999999996,49.3769999999995,77.41899999999987,86.66700000000037,81.85699999999997,85.59699999999975,89.50600000000031,88.78700000000026,91.64499999999953,111.18199999999979,76.11599999999999,,
42.0,0.0,8.233000000000175,20.533000000000357,32.167999999999665,36.152000000000044,37.146999999999935,43.48400000000038,47.378999999999905,48.39099999999962,76.99799999999959,86.5039999999999,81.5590000000002,86.21699999999964,90.14099999999962,89.39699999999993,94.44400000000041,111.16499999999996,120.49499999999989,,
43.0,0.0,7.5020000000004075,19.96600000000035,31.566000000000713,35.41600000000017,36.52300000000014,43.03300000000036,46.655000000000655,47.3090000000002,76.62700000000041,86.375,81.33800000000065,87.6840000000002,90.78400000000056,90.04100000000017,95.02600000000075,111.11000000000058,120.41900000000078,,
44.0,0.0,7.5659999999998035,20.26800000000003,31.728000000000065,35.51299999999992,36.71699999999964,42.978000000000065,46.42900000000009,47.16399999999976,76.88600000000042,86.99499999999989,81.60499999999956,89.17799999999988,93.6220000000003,91.1869999999999,96.08500000000004,113.9340000000002,120.8119999999999,,
45.0,0.0,7.117999999999483,19.80999999999949,31.028000000000247,34.91600000000017,36.279999999999745,42.58100000000013,45.623999999999796,46.09699999999975,76.36899999999969,86.54899999999998,81.23300000000017,89.8109999999997,94.6889999999994,91.82099999999991,96.82499999999982,113.82700000000023,120.65899999999965,,
46.0,0.0,6.710000000000036,18.972999999999956,30.695999999999913,34.667999999999665,36.03099999999995,42.4409999999998,45.23700000000008,46.24399999999969,75.90999999999985,86.19999999999982,81.15599999999995,90.67900000000009,95.9409999999998,93.89300000000003,97.33599999999933,113.88599999999951,120.64399999999932,,
47.0,0.0,6.757999999999811,18.217999999999847,30.485999999999876,34.46299999999974,35.740999999999985,42.24000000000069,44.60600000000068,45.5659999999998,75.50500000000011,87.27400000000034,80.71000000000004,93.1889999999994,96.87500000000091,94.63400000000092,97.87500000000091,113.95400000000063,121.06700000000001,,
48.0,0.0,6.709000000000742,19.019000000000233,30.579999999999927,34.52900000000045,36.0580000000009,41.939000000000306,44.41200000000026,45.384000000000015,75.46200000000135,87.42200000000048,81.621000000001,94.10699999999997,97.69500000000153,95.91100000000006,109.09300000000076,114.33800000000156,121.26500000000124,,
