,VER,PER,SAI,LEC,RUS,HAM,ALB,NOR,ALO,BOT,LAW,PIA,SAR,ZHO,GAS,STR,HUL,MAG,OCO,TSU
43.0,0.0,11.735000000000582,11.390999999999622,12.362999999999374,21.085000000000946,42.207000000000335,40.759000000000015,41.14500000000044,46.362999999999374,63.54900000000089,74.41600000000108,75.28800000000047,64.82799999999952,80.5580000000009,82.67500000000109,72.76200000000063,92.82999999999993,100.03200000000106,,
44.0,0.0,12.313000000000102,12.069999999999709,13.19800000000032,21.670000000000073,43.608000000000175,42.733000000000175,43.38500000000022,46.766999999999825,64.76000000000022,74.5069999999996,75.22700000000077,66.76300000000083,81.1200000000008,82.6820000000007,75.22500000000036,93.53800000000047,100.79500000000007,,
45.0,0.0,12.970000000001164,12.786000000000058,13.603000000000975,22.148000000001048,44.025000000001455,43.72400000000016,44.93500000000131,47.12800000000061,65.73300000000017,74.72500000000036,75.45000000000073,68.34900000000016,81.66500000000087,83.0630000000001,77.64500000000044,94.34500000000116,101.66600000000108,,
46.0,0.0,12.38299999999981,13.903999999998632,13.997999999999593,22.421000000000276,45.03299999999945,44.79099999999926,45.766999999999825,47.39599999999882,66.35399999999936,74.55799999999908,74.99699999999939,69.87299999999959,81.61399999999958,83.17000000000007,78.61299999999937,94.80500000000029,102.46399999999994,,
47.0,0.0,12.721999999999753,14.863000000001193,15.231999999999971,22.924000000000888,45.01600000000144,47.14500000000044,47.51600000000144,48.17100000000028,66.95300000000134,75.07700000000114,75.47400000000016,71.35800000000017,81.78200000000106,83.1770000000015,79.7430000000004,94.91899999999987,102.98700000000099,,
48.0,0.0,11.594999999999345,14.427999999999884,14.825000000000728,21.976000000000568,43.59599999999955,46.73199999999997,47.013999999999214,48.1190000000006,66.72299999999996,73.94000000000051,74.3060000000005,71.5630000000001,80.9950000000008,82.22999999999956,80.09799999999996,94.04299999999967,102.49099999999999,,
49.0,0.0,9.694000000001324,13.291000000001077,13.551000000001295,20.444000000001324,41.577000000001135,46.39400000000023,46.76800000000003,47.457000000000335,65.95000000000073,73.26800000000003,72.2400000000016,71.39800000000105,81.91300000000047,82.23600000000079,81.65800000000127,92.11700000000019,101.63800000000083,,
50.0,0.0,7.686000000001513,11.674000000000888,12.119000000000597,18.92500000000109,39.111000000000786,45.19800000000032,45.54900000000089,46.42400000000089,64.50700000000143,71.31100000000151,69.44000000000051,72.63100000000122,80.28800000000047,81.21800000000076,84.13000000000102,89.6180000000004,100.14900000000125,,
51.0,0.0,6.063999999998487,11.192999999999302,11.376999999998588,18.02799999999843,37.67900000000009,45.10599999999977,45.448999999998705,46.29399999999987,243.22999999999956,231.46999999999935,192.51000000000022,236.34999999999854,237.78999999999905,244.46999999999935,252.26999999999862,139.22999999999956,128.86899999999878,,
52.0,,,,,,,,,,,,,,,,,,,,
