,VER,HAM,ALO,STR,PER,NOR,HUL,PIA,ZHO,TSU,BOT,SAI,GAS,OCO,DEV,SAR,MAG,RUS,ALB,LEC
40.0,0.0,9.887000000000626,11.695999999999913,16.185999999999694,22.502000000000407,21.34900000000016,19.717999999998938,38.655000000000655,48.29899999999907,50.56999999999971,59.947000000000116,13.279000000000451,13.981999999999971,30.422999999998865,74.84100000000035,86.04600000000028,47.51299999999901,,,
41.0,0.0,10.168000000001484,12.079999999999927,16.92500000000109,23.26000000000022,22.037000000000262,20.725000000000364,39.600000000000364,49.559000000001106,52.4940000000006,62.04600000000028,13.704999999999927,14.582000000000335,31.11200000000099,77.5510000000013,87.03400000000147,49.301000000001295,,,
42.0,0.0,10.398999999999432,12.21600000000035,17.360000000000582,23.09100000000035,22.38500000000022,21.014999999999418,40.552999999999884,51.14300000000003,54.22699999999895,63.84200000000055,13.896999999999025,14.855999999999767,31.50300000000061,80.58699999999953,87.83100000000013,50.68299999999908,,,
43.0,0.0,10.306000000000495,12.256000000001222,17.38299999999981,22.622000000001208,23.438000000000102,21.379000000000815,41.60500000000138,52.32500000000073,55.86700000000019,65.23899999999958,13.805000000000291,14.792999999999665,31.610000000000582,84.45600000000013,88.54600000000028,51.72600000000057,,,
44.0,0.0,10.19800000000032,12.126000000000204,18.33300000000054,22.765000000001237,23.621000000001004,23.324000000000524,42.21299999999974,53.35100000000057,57.16500000000087,66.67300000000068,14.052999999999884,14.881000000001222,31.72400000000016,87.00400000000081,89.02700000000004,52.801000000001295,,,
45.0,0.0,10.813000000000102,12.381999999999607,18.842999999998938,23.104999999999563,24.332000000000335,23.923000000000684,43.112999999999374,54.59299999999894,58.46899999999914,68.2569999999996,14.548999999999069,15.529000000000451,32.39300000000003,104.74099999999999,90.1319999999996,53.957000000000335,,,
46.0,0.0,11.139000000001033,12.369000000000597,19.413000000000466,23.40600000000086,24.80199999999968,24.34400000000096,44.0619999999999,55.82600000000093,60.06500000000051,69.78700000000026,15.154000000000451,16.066000000000713,33.19800000000032,112.56800000000112,90.99200000000019,55.04600000000028,,,
47.0,0.0,7.847999999999956,9.292999999999665,16.740999999999985,19.942000000000917,22.17699999999968,21.78100000000086,41.623999999999796,53.58100000000013,57.96700000000055,68.05000000000109,12.079999999999927,12.953999999999724,30.472999999999956,110.30500000000029,92.57200000000012,52.858000000000175,,,
48.0,0.0,7.625,9.337999999999738,16.6929999999993,19.601000000000568,22.88800000000083,22.574000000000524,42.23699999999917,54.326999999999316,58.93399999999929,69.41300000000047,12.24200000000019,13.122999999999593,30.8700000000008,110.92499999999927,96.6200000000008,53.75699999999961,,,
49.0,0.0,7.895999999998821,9.729999999999563,17.48400000000038,20.005999999999403,24.886999999998807,24.17399999999907,43.42000000000007,55.96799999999894,60.8859999999986,71.54399999999987,13.001999999998588,13.932999999999083,32.19599999999991,111.87099999999919,99.60199999999895,55.37799999999879,,,
50.0,0.0,8.334000000000742,9.981999999999971,17.947000000000116,20.554000000000087,26.1299999999992,25.575000000000728,44.70099999999911,57.33300000000054,62.425999999999476,73.47799999999916,13.501000000000204,15.066000000000713,32.92900000000009,112.58300000000054,100.58699999999953,56.88500000000022,,,
51.0,0.0,8.384000000000015,10.254000000000815,18.470000000001164,21.23199999999997,27.530000000000655,29.423000000000684,45.806000000000495,59.48199999999997,63.621000000001004,75.3189999999995,13.694999999999709,16.05000000000109,33.748999999999796,113.28200000000106,103.35800000000017,58.82799999999952,,,
52.0,0.0,8.386999999998807,10.031999999999243,18.862999999999374,21.34899999999834,28.143999999998414,31.27799999999843,46.750999999998385,60.79399999999987,64.67199999999866,77.24199999999837,13.675999999999476,16.93199999999888,34.4469999999983,113.73299999999836,104.13400000000001,59.774999999999636,,,
53.0,0.0,8.368000000000393,9.837000000001353,19.14900000000125,20.913000000000466,28.73199999999997,32.33300000000054,47.41500000000087,66.88900000000103,75.02000000000044,107.21399999999994,13.472000000001572,17.35900000000038,35.1140000000014,138.60000000000036,124.64400000000023,213.03700000000026,,,
54.0,0.0,12.793000000001484,13.725000000000364,27.14600000000064,30.235000000000582,42.176000000001295,45.70300000000134,79.16900000000169,106.16800000000148,107.30000000000109,411.64100000000144,20.50800000000163,25.174000000000888,50.26500000000124,606.3560000000016,427.65700000000106,,,,
55.0,0.0,3.528999999998632,859.0370000000003,868.0229999999992,873.0709999999999,880.7819999999992,882.6859999999997,889.0679999999993,893.2339999999986,897.851999999999,901.0759999999991,862.2309999999998,864.8099999999995,886.4560000000001,905.4169999999995,903.0759999999991,,,,
56.0,0.0,38.2440000000006,38.71800000000076,39.720000000001164,40.09600000000137,40.32300000000032,40.53900000000067,41.077000000001135,41.4940000000006,41.082000000000335,41.27100000000064,39.27100000000064,39.460000000000946,40.684000000001106,41.60200000000077,41.76900000000023,,,,
57.0,0.0,3.149999999999636,1846.8179999999993,1850.7259999999987,1854.8359999999993,1857.438,1859.575999999999,1861.8799999999992,1862.967999999999,1863.7259999999987,1866.3719999999994,1849.339,-116.10900000000038,-116.10900000000038,-116.10900000000038,-116.10900000000038,,,,
58.0,0.0,0.21999999999934516,0.8549999999995634,3.081000000000131,3.418999999999869,3.743000000000393,4.996999999999389,5.354999999999563,5.725000000000364,6.029000000000451,6.565999999998894,1.5820000000003347,,,,,,,,
