,VER,ALO,GAS,PER,SAI,HAM,NOR,ALB,PIA,OCO,STR,HUL,LAW,BOT,TSU,MAG,RUS,ZHO,LEC,SAR
46.0,0.0,13.273999999999432,18.949999999999818,28.972999999999956,38.17500000000018,56.45299999999952,52.66699999999946,48.292999999999665,43.422999999999774,51.469999999999345,63.753999999999905,50.641999999999825,66.73700000000008,55.34400000000005,37.0659999999998,66.04899999999998,43.17000000000007,60.96699999999964,,
47.0,0.0,13.539999999999964,42.75,27.71600000000035,38.197000000000116,56.0600000000004,52.18000000000029,47.73700000000008,61.33799999999974,51.42900000000009,63.89599999999973,52.10099999999966,84.61999999999989,59.30799999999999,38.180999999999585,66.80699999999979,44.086999999999534,61.25799999999981,,
48.0,0.0,17.451000000000022,42.589999999999236,27.174999999999272,38.063999999999396,55.3809999999994,51.78699999999935,47.59400000000005,60.61499999999978,50.875,64.21099999999933,57.67199999999957,84.21999999999935,77.97199999999975,39.956999999999425,67.63699999999972,44.201999999999316,62.20899999999983,,
49.0,0.0,37.32499999999982,38.5679999999993,23.490999999999985,34.82099999999991,51.55799999999999,48.05999999999949,44.19499999999971,56.92900000000009,47.25999999999931,61.30499999999938,72.83899999999994,80.50900000000001,74.13900000000012,38.279999999999745,65.27499999999964,41.318999999999505,59.521999999999935,,
50.0,0.0,19.47400000000016,22.442000000000007,6.201000000000022,18.210000000000036,34.427999999999884,30.445999999999913,27.215000000000146,39.336999999999534,30.097999999999956,44.998999999999796,55.76499999999942,63.54500000000007,56.927999999999884,23.371000000000095,49.3119999999999,24.93199999999979,43.26999999999953,,
51.0,0.0,19.639000000000124,23.515000000000327,6.961999999999534,19.472999999999956,34.814000000000306,31.13000000000011,28.190999999999804,39.81700000000001,30.72699999999986,46.67500000000018,56.8100000000004,64.66899999999987,58.210000000000036,26.108000000000175,51.35699999999997,26.291000000000167,44.90800000000036,,
52.0,0.0,20.871000000000095,24.29199999999946,7.337999999999738,21.983000000000175,35.14599999999973,31.729999999999563,30.27599999999984,39.94300000000021,31.28099999999995,48.159999999999854,57.198999999999614,65.63999999999942,59.534999999999854,30.297999999999774,53.01599999999962,29.21599999999944,46.30499999999938,,
53.0,0.0,20.947000000000116,24.856000000000677,7.780999999999949,23.322000000000116,35.49499999999989,34.2480000000005,31.400000000000546,40.11200000000008,33.71599999999944,49.66999999999916,57.39900000000034,66.48800000000028,60.33800000000065,33.73199999999906,54.58299999999963,30.347999999999047,47.91199999999935,,
54.0,0.0,20.65599999999904,25.274999999999636,8.53099999999904,24.0,37.16100000000006,36.844999999999345,32.22599999999875,40.154999999998836,34.84599999999955,51.03199999999924,58.128999999998996,67.53999999999905,61.378999999998996,36.759000000000015,56.25699999999961,31.21600000000035,49.414999999999054,,
55.0,0.0,20.103000000000975,25.301000000001295,9.277000000000044,24.804000000000087,37.58400000000074,37.42699999999968,32.27900000000045,40.472999999999956,35.600000000000364,52.427999999999884,58.20000000000073,68.4890000000014,62.097999999999956,40.57099999999991,58.137000000000626,32.009000000000015,50.91400000000067,,
56.0,0.0,19.530000000000655,25.816000000000713,9.523000000001048,25.387000000000626,37.33700000000135,39.173000000000684,32.68500000000131,41.030000000000655,36.14300000000003,53.759000000000015,58.40600000000086,69.50400000000081,63.34100000000035,43.70600000000013,60.58800000000156,33.902000000000044,52.22700000000077,,
57.0,0.0,19.752999999998792,26.800999999999476,9.74200000000019,26.459999999999127,37.20399999999972,40.128999999998996,33.29899999999907,41.888999999999214,37.06999999999971,55.560999999999694,59.323999999998705,70.84000000000015,64.55400000000009,46.800999999999476,62.94499999999971,35.409999999999854,54.16299999999865,,
58.0,0.0,19.869000000000597,28.39799999999923,10.165999999999258,27.8700000000008,37.21900000000096,41.31600000000071,34.02299999999923,42.78199999999924,39.15600000000086,57.77800000000025,60.31500000000051,72.03199999999924,66.65999999999985,50.10900000000038,65.61599999999999,36.79099999999926,56.16899999999987,,
59.0,0.0,20.084000000000742,29.445999999999913,10.454000000001543,29.215000000000146,38.94599999999991,42.45800000000054,34.5630000000001,43.61200000000099,40.507000000001426,59.8130000000001,61.63900000000103,77.35500000000138,73.47200000000157,53.126000000000204,68.19400000000132,39.68000000000029,58.194000000001324,,
60.0,0.0,19.990999999999985,35.29900000000089,14.300999999999476,36.5570000000007,44.31500000000051,49.13000000000102,36.92200000000048,54.8119999999999,42.99799999999959,71.90700000000106,72.49099999999999,103.79600000000028,98.32600000000093,64.48199999999997,82.98600000000079,47.88500000000022,67.73999999999978,,
