,VER,PIA,NOR,RUS,LEC,ALO,OCO,BOT,ZHO,PER,STR,GAS,ALB,MAG,TSU,HUL,LAW,SAR,HAM,55
30.0,0.0,34.95499999999993,40.52799999999934,22.506999999999607,50.99799999999959,43.76899999999932,54.68299999999999,48.5,42.79099999999926,30.16399999999976,50.48699999999917,56.495999999999185,38.362999999999374,63.610999999999876,64.34699999999975,73.03399999999965,69.18099999999959,74.22599999999966,,
31.0,0.0,34.78200000000015,40.11400000000049,22.43199999999979,50.970000000000255,44.564000000000306,55.16700000000037,49.59299999999985,43.922999999999774,35.21299999999974,52.797999999999774,56.735999999999876,43.572000000000116,65.34400000000005,66.39800000000014,74.21900000000005,70.51299999999992,75.2430000000004,,
32.0,0.0,34.42500000000018,39.396999999999935,26.538000000000466,51.65400000000045,44.82499999999982,55.79500000000007,51.09600000000046,46.47100000000046,64.35300000000007,54.07600000000002,57.46900000000005,70.86200000000008,67.35400000000027,69.29100000000017,75.76000000000022,72.88100000000031,76.80799999999999,,
33.0,0.0,34.08600000000024,38.860999999999876,50.016999999999825,52.402000000000044,54.08799999999974,57.240999999999985,55.15399999999954,48.110999999999876,65.78499999999985,56.27300000000014,58.8090000000002,72.17000000000007,69.15899999999965,71.42199999999957,77.78999999999996,74.89400000000023,78.98999999999978,,
34.0,0.0,29.335000000000036,34.03399999999965,45.331999999999425,48.52800000000025,50.39300000000003,54.136999999999716,52.27899999999954,44.91199999999935,62.07600000000002,53.48199999999997,55.47099999999955,69.6210000000001,66.48399999999947,69.17500000000018,75.64199999999983,72.77199999999993,76.97599999999966,,
35.0,0.0,5.83600000000024,10.338999999999942,21.300000000000182,25.925000000000182,27.859999999999673,32.14800000000014,30.712000000000444,27.904999999999745,39.72400000000016,31.757000000000517,33.31999999999971,47.47699999999986,44.51000000000022,49.19000000000051,55.02599999999984,51.88200000000052,55.74499999999989,,
36.0,0.0,6.130000000000109,10.355999999999767,21.64800000000014,26.675000000000182,28.78899999999976,33.527000000000044,32.939000000000306,53.65099999999984,41.042999999999665,35.097999999999956,35.610999999999876,48.47699999999986,46.271999999999935,51.560999999999694,57.61399999999958,55.25600000000031,58.54399999999987,,
37.0,0.0,6.510000000000218,10.51299999999992,21.903000000000247,27.80699999999979,29.930999999999585,35.51000000000022,35.06999999999971,55.08100000000013,42.35999999999967,38.514000000000124,37.53600000000006,49.685999999999694,48.03700000000026,53.947000000000116,60.3720000000003,57.904999999999745,61.34400000000005,,
38.0,0.0,7.095000000000255,10.713999999999942,22.14099999999962,28.802999999999884,31.246000000000095,36.9399999999996,38.626000000000204,57.10899999999947,43.60099999999966,41.09599999999955,39.461999999999534,51.46100000000024,50.164999999999964,56.697000000000116,63.49299999999948,60.69300000000021,64.48499999999967,,
39.0,0.0,7.592000000000553,11.101000000000568,22.597000000000662,29.61500000000069,32.32099999999991,38.551000000000386,45.14100000000053,58.50500000000011,45.248999999999796,47.22699999999986,41.76500000000033,53.05500000000029,55.45499999999993,60.16100000000006,70.31500000000051,67.5659999999998,68.25700000000052,,
40.0,0.0,8.13299999999981,11.430000000000291,23.067000000000007,30.4350000000004,33.85599999999977,39.61899999999969,70.79399999999987,59.965000000000146,46.8119999999999,73.17600000000039,42.73000000000047,54.32099999999991,82.96299999999974,66.67200000000048,100.38100000000031,94.09000000000015,94.22500000000036,,
41.0,0.0,9.230999999999767,12.289999999999964,23.842000000000553,31.09600000000046,35.54500000000007,40.59100000000035,72.90800000000036,61.27400000000034,48.10199999999986,74.76800000000003,43.63500000000022,55.70499999999993,84.25200000000041,91.42000000000007,102.7489999999998,98.8159999999998,,,
42.0,0.0,10.279999999999745,13.386999999999716,24.08100000000013,31.815999999999804,36.89900000000034,41.21399999999994,74.63799999999992,62.52300000000014,49.01000000000022,76.09599999999955,44.44200000000001,57.323999999999614,87.58399999999983,93.39999999999964,104.66700000000037,102.77300000000014,,,
43.0,0.0,14.72900000000027,13.192000000000007,24.09099999999944,36.64099999999962,37.93499999999949,46.53200000000015,75.95200000000023,63.59299999999985,54.077000000000226,77.26599999999962,45.91899999999987,58.53200000000015,88.83500000000004,94.95200000000023,105.94799999999941,104.93499999999949,,,
44.0,0.0,38.22700000000077,17.691000000000713,24.624000000000706,60.1850000000004,44.271999999999935,72.60100000000057,77.90500000000065,65.02900000000045,84.01800000000003,78.92000000000007,51.499000000000706,65.99200000000019,90.98800000000028,96.82600000000002,107.86200000000008,107.25200000000041,,,
45.0,0.0,37.95899999999983,40.499000000000706,25.056000000000495,60.52000000000044,69.11700000000019,74.82900000000063,79.48900000000049,66.25,87.88500000000022,80.64500000000044,83.29300000000057,91.95100000000002,92.92500000000018,98.97200000000066,108.73000000000047,111.42500000000018,,,
46.0,0.0,37.30400000000009,39.39099999999962,25.967999999999847,60.53399999999965,69.91899999999987,75.3779999999997,80.3189999999995,66.84999999999945,89.08799999999974,81.99499999999989,84.28399999999965,92.73999999999978,94.0029999999997,100.43499999999949,110.27399999999943,114.71500000000015,,,
47.0,0.0,36.57099999999991,38.264000000000124,25.795000000000073,60.534999999999854,70.47999999999956,76.14600000000064,81.48999999999978,67.43299999999908,89.8060000000005,83.11299999999937,87.15499999999884,93.46600000000035,95.45600000000013,101.9419999999991,113.65099999999984,116.85599999999977,,,
