,VER,NOR,PER,HAM,PIA,RUS,LEC,SAI,ALO,STR,ALB,BOT,RIC,HUL,TSU,ZHO,MAG,SAR,OCO,GAS
19.0,0.0,28.210000000000036,21.340000000000146,39.21600000000035,29.579999999999927,33.409999999999854,44.72900000000027,41.150000000000546,25.86499999999978,44.110999999999876,51.2470000000003,47.427999999999884,62.172999999999774,54.176000000000386,52.582000000000335,55.771999999999935,56.759000000000015,58.45899999999983,,
20.0,0.0,28.08599999999933,21.795000000000073,39.40899999999965,30.009000000000015,34.61200000000008,45.03899999999976,41.59299999999985,29.63499999999931,46.417999999999665,52.274999999999636,48.26999999999953,62.96799999999985,55.43199999999979,53.72699999999986,56.969999999999345,57.98399999999947,59.277000000000044,,
21.0,0.0,27.57300000000032,22.320999999999913,39.80000000000018,29.96900000000005,36.00500000000011,45.58100000000013,42.086999999999534,50.001000000000204,47.83899999999994,54.08899999999994,49.59900000000016,64.08899999999994,56.93199999999979,55.35400000000027,58.625,59.78099999999995,60.93299999999999,,
22.0,0.0,27.09400000000005,22.9320000000007,39.91700000000037,29.5,36.972999999999956,45.77300000000014,42.39400000000023,51.44100000000071,48.52100000000064,55.569000000000415,52.389000000000124,64.74200000000019,58.35400000000027,56.905000000000655,59.95600000000013,61.4350000000004,62.572000000000116,,
23.0,0.0,23.650000000000546,20.567000000000007,37.051000000000386,26.472000000000662,35.08400000000074,43.03700000000026,39.668000000000575,49.61500000000069,46.77800000000025,54.4950000000008,51.043000000000575,63.05300000000079,57.30200000000059,55.66200000000026,58.75300000000061,60.215000000000146,61.17000000000007,,
24.0,0.0,5.489999999999782,6.001999999999498,19.28899999999976,8.465000000000146,18.09400000000005,25.179000000000087,22.024000000000342,32.917999999999665,29.90399999999954,38.228000000000065,34.827000000000226,46.39400000000023,41.159999999999854,39.57999999999993,42.65899999999965,44.139000000000124,45.26299999999992,,
25.0,0.0,5.229999999999563,24.766999999999825,19.574999999999818,8.617999999999483,21.939000000000306,26.243999999999687,23.090000000000146,33.89899999999943,31.309000000000196,40.03600000000006,36.27399999999943,48.29100000000017,43.1279999999997,41.39599999999973,44.65799999999945,46.3779999999997,47.40599999999995,,
26.0,0.0,5.244999999999891,24.677999999999884,19.824000000000524,8.777000000000044,23.783000000000357,27.132000000000517,24.569000000000415,34.77900000000045,32.720000000000255,41.931000000000495,38.04600000000028,50.78300000000036,44.99200000000019,43.32300000000032,46.88500000000022,48.793000000000575,49.78900000000067,,
27.0,0.0,5.6729999999997744,26.692000000000007,20.380999999999403,9.420000000000073,25.94499999999971,28.774999999999636,28.011999999999716,35.965000000000146,34.623999999999796,43.98499999999967,39.92699999999968,53.233000000000175,47.19999999999982,45.58799999999974,49.07799999999952,51.43499999999949,52.340000000000146,,
28.0,0.0,6.439000000000306,26.978000000000065,20.779999999999745,10.271999999999935,31.54699999999957,30.53099999999995,29.89300000000003,37.19200000000001,36.447000000000116,45.92199999999957,41.46600000000035,55.39000000000033,49.54899999999998,47.582000000000335,51.01500000000033,53.873999999999796,54.78399999999965,,
29.0,0.0,6.813000000000102,26.411000000000058,21.07300000000032,11.288000000000466,51.391999999999825,31.34100000000035,30.39600000000064,38.01100000000042,39.740999999999985,47.75200000000041,43.056000000000495,59.975000000000364,51.103000000000065,49.556000000000495,53.659999999999854,56.3159999999998,57.02000000000044,,
30.0,0.0,7.231999999999971,25.873000000000502,21.19800000000032,12.137000000000626,52.14400000000023,32.100000000000364,31.045000000000073,39.199000000000524,41.79200000000037,49.61000000000058,44.69300000000021,79.16000000000076,54.082000000000335,51.6840000000002,56.074000000000524,59.022000000000844,59.74200000000019,,
31.0,0.0,7.931000000000495,25.628999999999905,21.460000000000036,13.11999999999989,51.79399999999987,33.02599999999984,31.728000000000065,40.27400000000034,43.61400000000049,53.85199999999986,46.26000000000022,79.73100000000068,56.001000000000204,54.470000000000255,58.539999999999964,61.715000000000146,62.36200000000008,,
32.0,0.0,8.769999999999527,26.01599999999962,22.557999999999993,14.596999999999753,51.51599999999962,34.29899999999998,33.13599999999951,41.396999999999935,45.69300000000021,74.33100000000013,48.39000000000033,80.63400000000001,58.32600000000002,56.70499999999993,60.95499999999993,64.76599999999962,65.41299999999956,,
33.0,0.0,9.543999999999869,26.01800000000003,22.85199999999986,15.841999999999643,51.733000000000175,35.35599999999977,34.08799999999974,42.222999999999956,47.52099999999973,75.17799999999988,50.340000000000146,81.45699999999943,60.35999999999967,58.63999999999942,63.33899999999994,67.4989999999998,68.09999999999945,,
34.0,0.0,10.261000000000422,26.038000000000466,23.243999999999687,17.061999999999898,52.61800000000039,36.457000000000335,35.10599999999977,43.53200000000015,51.88600000000042,75.92900000000009,52.4409999999998,81.98099999999977,62.582000000000335,60.56700000000001,65.88100000000031,70.2480000000005,73.57600000000002,,
