,VER,ALO,HAM,LEC,SAI,PER,ALB,OCO,STR,BOT,PIA,GAS,NOR,TSU,HUL,ZHO,MAG,DEV,RUS,SAR
21.0,0.0,2.6989999999996144,2.113999999999578,4.6580000000003565,5.376000000000204,8.268000000000029,15.413000000000466,12.515999999999622,18.055999999999585,13.872999999999593,15.958999999999833,19.17699999999968,14.283000000000357,16.597999999999956,17.70799999999963,17.073999999999614,15.103000000000065,18.708999999999833,19.692000000000007,
22.0,0.0,2.756999999999607,2.8919999999998254,5.230999999999767,5.7150000000001455,9.271999999999935,17.583999999999833,13.622000000000298,19.832000000000335,15.032000000000153,17.31800000000021,20.917999999999665,15.5649999999996,18.164999999999964,19.35899999999947,18.761999999999716,16.98199999999997,20.57799999999952,21.493999999999687,
23.0,0.0,2.8190000000004147,3.6400000000003274,5.472999999999956,6.122000000000298,9.92199999999957,19.355999999999767,14.523000000000138,21.449999999999818,16.041000000000167,18.929000000000087,22.404999999999745,16.515000000000327,19.907000000000153,21.108000000000175,20.488999999999578,18.53099999999995,21.996000000000095,23.09400000000005,
24.0,0.0,3.106999999999971,4.240000000000691,6.0440000000007785,6.719000000000051,10.71600000000035,20.877000000000407,15.864000000000487,23.287000000000262,17.201000000000022,20.402000000000044,24.431000000000495,17.782000000000153,21.53900000000067,22.858000000000175,22.207000000000335,20.425000000000182,24.035000000000764,24.980000000000473,
25.0,0.0,3.386000000000422,4.639000000000124,6.611000000000786,7.930000000000291,11.618000000000393,23.009000000000015,16.968000000000757,25.009000000000015,18.532000000000153,22.067000000000007,26.076000000000022,18.960000000000036,23.61200000000008,24.752000000000407,24.14800000000014,22.69800000000032,25.689000000000306,26.765000000000327,
26.0,0.0,3.5799999999999272,5.003999999999905,7.178999999999178,9.014999999999418,12.32799999999952,24.574999999999818,18.086999999999534,26.959999999999127,19.820999999999913,23.516999999999825,28.013999999999214,20.282999999999447,25.49199999999928,26.656999999999243,26.096999999999753,24.516999999999825,27.527999999999338,28.39599999999973,
27.0,0.0,3.470999999999549,5.126999999999498,7.856999999999971,9.729999999999563,13.221999999999753,26.25,19.13000000000011,44.86399999999958,21.00799999999981,24.63000000000011,29.585000000000036,21.456999999999425,27.067000000000007,28.326000000000022,27.61699999999928,26.08299999999963,29.17199999999957,30.432999999999993,
28.0,0.0,3.4769999999998618,5.5239999999994325,8.286999999999352,10.295000000000073,13.859999999999673,27.809000000000196,20.01000000000022,49.04899999999998,22.06999999999971,25.685999999999694,30.91899999999987,22.590000000000146,28.488999999999578,29.811999999999898,28.93499999999949,28.010999999999513,30.36999999999989,31.693999999999505,
29.0,0.0,3.9219999999995707,6.506999999999607,9.020000000000437,10.920000000000073,14.751000000000204,29.170000000000073,21.140000000000327,49.597999999999956,23.213999999999942,27.095000000000255,32.79200000000037,23.756000000000313,30.46100000000024,31.76000000000022,31.06800000000021,30.04200000000037,32.19800000000032,33.277000000000044,
30.0,0.0,4.201000000000022,6.667000000000371,9.696000000000822,11.325000000000728,15.309000000000196,30.364000000000487,22.149000000000342,49.80400000000009,24.446000000000822,28.27100000000064,34.25700000000052,25.287000000000262,31.938000000000102,33.30799999999999,32.686000000000604,31.33600000000024,33.767000000000735,35.14300000000003,
