,VER,LEC,RUS,PER,NOR,PIA,ALO,TSU,HAM,STR,RIC,OCO,GAS,ALB,HUL,SAR,ZHO,SAI,BOT,MAG
35.0,0.0,10.941000000000713,32.31800000000021,16.092000000000553,33.173000000000684,22.166000000000167,24.46100000000024,28.5570000000007,27.842000000000553,32.01600000000053,55.79899999999998,37.01900000000023,60.90300000000025,49.96700000000055,70.85000000000036,55.210000000000036,54.115999999999985,38.96700000000055,73.00600000000031,74.71500000000015
36.0,0.0,30.85900000000038,32.103000000000065,16.118000000000393,34.152000000000044,24.84400000000005,27.60699999999997,29.295000000000073,47.72100000000046,33.600000000000364,57.427999999999884,38.73900000000049,61.35199999999986,51.40599999999995,71.63900000000012,57.048000000000684,55.884000000000015,40.293000000000575,74.3110000000006,76.48700000000008
37.0,0.0,30.98400000000038,32.13600000000042,16.200000000000728,34.462000000000444,43.46700000000055,48.97600000000057,30.21900000000005,48.34300000000076,35.44100000000071,60.486000000000786,40.13600000000042,62.452000000000226,52.90900000000056,72.47600000000057,59.918000000000575,59.910000000000764,41.19000000000051,75.64699999999993,77.92200000000048
38.0,0.0,30.646999999999935,32.306000000000495,16.170000000000073,34.98499999999967,42.53200000000015,48.8119999999999,31.725000000000364,49.64300000000003,36.77099999999973,62.42100000000028,41.20100000000002,63.47699999999986,54.073999999999614,72.86499999999978,62.07600000000002,81.73300000000017,41.863000000000284,76.59000000000015,79.22500000000036
39.0,0.0,30.55699999999979,32.65099999999984,16.451000000000022,35.56800000000021,42.33299999999963,48.76299999999992,33.889000000000124,50.01500000000033,38.22699999999986,63.64000000000033,44.447000000000116,65.42500000000018,55.72199999999975,74.10699999999997,65.21600000000035,81.83500000000004,43.595000000000255,77.74200000000019,80.80099999999948
40.0,0.0,30.050000000000182,32.28099999999995,16.30699999999979,35.75799999999981,41.96299999999974,48.327000000000226,34.46900000000005,49.82899999999972,39.27300000000014,63.427999999999884,45.84100000000035,66.23099999999977,57.0,75.17500000000018,67.91700000000037,81.86300000000028,44.17699999999968,79.03399999999965,83.1850000000004
41.0,0.0,29.51299999999992,31.890000000000327,16.499000000000706,35.819000000000415,41.72200000000066,48.134000000000015,34.97699999999986,49.63600000000042,40.26100000000042,63.26299999999992,47.090000000000146,66.84900000000016,58.3070000000007,76.06500000000051,71.61000000000058,82.26200000000063,44.66899999999987,80.19200000000001,84.66200000000026
42.0,0.0,28.70799999999963,31.600000000000364,18.375,35.259000000000015,41.61800000000039,47.30799999999999,36.24399999999969,49.34699999999975,42.819000000000415,62.761999999999716,48.75,66.99799999999959,59.57999999999993,76.3789999999999,92.55500000000029,82.15200000000004,45.03899999999976,80.97299999999996,85.9359999999997
43.0,0.0,25.528000000000247,28.733000000000175,35.0630000000001,32.71600000000035,38.5590000000002,44.686000000000604,34.512000000000626,46.66700000000037,59.668000000000575,61.426000000000386,48.44000000000051,65.32400000000052,60.36400000000049,74.47299999999996,89.7440000000006,79.50700000000052,43.26000000000022,81.0,84.60200000000077
44.0,0.0,5.5570000000006985,8.923000000000684,14.386000000000422,13.085000000000036,18.87800000000061,25.502000000000407,16.074000000000524,27.48700000000008,39.548000000000684,42.074000000000524,30.701000000000022,46.92399999999998,61.57900000000063,55.845000000000255,70.21900000000005,60.42000000000007,24.899000000000342,62.82900000000063,66.51600000000053
