,SAI,NOR,HAM,LEC,VER,GAS,PIA,PER,LAW,MAG,ALB,ZHO,HUL,SAR,ALO,RUS,BOT,OCO,TSU,18
31.0,0.0,1.4749999999994543,2.0670000000000073,4.282000000000153,8.398999999999432,14.9399999999996,15.940999999999804,11.596999999999753,17.28399999999965,14.449999999999818,19.471999999999753,20.331999999999425,17.82799999999952,48.24299999999948,12.807999999999993,0.7799999999997453,23.777000000000044,13.527000000000044,,
32.0,0.0,1.5820000000003347,2.0690000000004147,4.4890000000004875,9.248000000000502,16.162000000000262,16.861000000000786,12.667000000000371,18.155000000000655,15.730000000000473,20.830000000000837,21.72400000000016,19.6820000000007,48.865999999999985,14.014000000000124,0.9150000000008731,25.75500000000011,14.705000000000837,,
33.0,0.0,2.0100000000002183,3.4539999999997235,4.738999999999578,10.099999999999454,17.08100000000013,17.863000000000284,13.787000000000262,19.253999999999905,16.59099999999944,22.36700000000019,23.197000000000116,21.14099999999962,49.39400000000023,14.414999999999964,1.0280000000002474,27.579999999999927,15.399999999999636,,
34.0,0.0,2.0450000000000728,2.97400000000016,4.231999999999971,10.45300000000043,18.377000000000407,19.436000000000604,14.583999999999833,20.18199999999979,17.85699999999997,22.891999999999825,23.671000000000276,21.76000000000022,49.168000000000575,14.967999999999847,0.9639999999999418,28.64300000000003,15.677999999999884,,
35.0,0.0,1.77599999999984,2.5140000000001237,4.0090000000000146,10.748999999999796,20.970000000000255,21.670000000000073,14.9399999999996,22.359999999999673,20.498999999999796,23.98700000000008,24.890000000000327,23.412000000000262,48.961999999999534,15.623999999999796,0.9799999999995634,29.480999999999767,16.248999999999796,,
36.0,0.0,1.6940000000004147,2.3320000000003347,3.9080000000003565,11.577000000000226,21.39100000000053,22.712999999999738,16.88500000000022,23.916000000000167,29.085000000000036,26.38299999999981,28.092999999999847,24.996000000000095,49.29600000000028,17.345000000000255,0.9099999999998545,31.56500000000051,17.916000000000167,,
37.0,0.0,1.6480000000001382,2.407000000000153,3.6630000000004657,11.917000000000371,22.015000000000327,23.197000000000116,20.17200000000048,24.828999999999724,31.552999999999884,27.527000000000044,29.35699999999997,25.59400000000005,49.16399999999976,21.55500000000029,0.8019999999996799,34.056000000000495,20.631000000000313,,
38.0,0.0,1.84900000000016,2.7479999999995925,4.0900000000001455,13.00799999999981,23.756999999999607,24.536000000000058,21.97400000000016,26.416000000000167,33.625,28.845000000000255,30.65899999999965,27.126000000000204,49.521999999999935,23.243999999999687,0.9179999999996653,36.818999999999505,22.430999999999585,,
39.0,0.0,1.8670000000001892,2.7590000000000146,4.2849999999998545,14.927999999999884,27.364000000000487,28.269000000000233,35.80799999999999,29.00799999999981,36.306000000000495,30.837999999999738,32.30000000000018,29.88299999999981,50.40300000000025,26.052999999999884,0.8339999999998327,39.625,24.052999999999884,,
40.0,0.0,1.819999999999709,2.837999999999738,4.449000000000524,24.342999999999847,27.855999999999767,29.175000000000182,55.75200000000041,30.79700000000048,38.67000000000007,32.38000000000011,33.71299999999974,31.7470000000003,51.289999999999964,26.814000000000306,0.76299999999992,50.33300000000054,24.59100000000035,,
