,VER,PER,ALO,SAI,HAM,STR,RUS,BOT,GAS,ALB,TSU,SAR,MAG,DEV,HUL,ZHO,NOR,OCO,LEC,PIA
28.0,0.0,13.442000000000007,35.90899999999965,30.399999999999636,34.0630000000001,43.279999999999745,41.10199999999986,51.75,81.42500000000018,80.24799999999959,82.14099999999962,64.88799999999992,76.42299999999977,93.90999999999985,108.1279999999997,68.21100000000024,121.15700000000015,96.11499999999978,17.908000000000357,
29.0,0.0,13.60400000000027,36.922999999999774,31.378999999999905,34.8720000000003,44.41899999999987,42.32300000000032,56.39900000000034,81.86599999999999,80.80400000000009,82.34900000000016,66.98999999999978,80.83100000000013,94.46000000000004,107.95499999999993,70.0010000000002,120.84600000000046,99.72500000000036,18.78399999999965,
30.0,0.0,13.454999999999927,37.65599999999995,32.431000000000495,38.4980000000005,48.337000000000444,43.31500000000051,77.73599999999988,82.07700000000023,81.1859999999997,82.94700000000012,71.85000000000036,104.21500000000015,94.61999999999989,108.02300000000014,71.83399999999983,120.90200000000004,101.93299999999999,19.625,
31.0,0.0,13.942999999999302,38.23399999999947,36.27399999999943,60.56999999999971,67.96900000000005,46.91899999999987,77.68399999999929,82.61399999999958,81.85899999999947,83.32899999999972,93.72199999999975,105.3769999999995,95.09799999999996,108.48299999999927,74.07299999999941,121.23899999999958,104.25,20.9399999999996,
32.0,0.0,13.97400000000016,38.41399999999976,57.07499999999982,60.44200000000001,66.82399999999961,67.92199999999957,77.66799999999967,82.93499999999949,82.08699999999953,83.65499999999975,93.64400000000023,105.32999999999993,95.3090000000002,108.59799999999996,78.47800000000007,121.65899999999965,110.85499999999956,22.197000000000116,
33.0,0.0,14.157000000000153,38.4970000000003,56.9369999999999,60.30500000000029,66.34799999999996,67.45700000000033,77.75700000000052,83.22299999999996,82.50500000000011,84.0630000000001,93.81999999999971,104.74099999999999,95.5560000000005,108.67299999999977,100.45100000000002,121.4930000000004,151.86300000000028,25.833999999999833,
34.0,0.0,17.003999999999905,41.01100000000042,56.57300000000032,60.60100000000057,65.67700000000059,66.92900000000009,77.69200000000001,83.40599999999995,82.62700000000041,84.35400000000027,93.88299999999981,104.43000000000029,95.98300000000017,108.72900000000027,99.64900000000034,121.64100000000053,150.8209999999999,47.47199999999975,
35.0,0.0,37.938999999999396,60.55000000000018,56.16399999999976,59.581999999999425,65.34799999999996,66.67099999999937,77.65899999999965,83.64400000000023,82.76099999999951,84.66699999999946,94.0619999999999,104.03999999999996,96.2559999999994,108.97199999999975,99.34900000000016,121.66100000000006,149.9349999999995,47.69499999999971,
36.0,0.0,33.79500000000007,55.74200000000019,52.90599999999995,55.16399999999976,62.10400000000027,63.314000000000306,74.52199999999993,80.86399999999958,79.97299999999996,81.76199999999972,90.8149999999996,100.82999999999993,93.49799999999959,106.2529999999997,96.34199999999964,120.58299999999963,146.33500000000004,44.04399999999987,
37.0,0.0,11.649000000000342,34.68299999999999,31.546000000000276,34.0619999999999,41.29399999999987,42.64599999999973,53.806000000000495,60.50700000000052,59.52099999999973,61.34699999999975,70.15599999999995,80.33799999999974,73.4310000000005,85.8710000000001,75.85500000000047,102.28999999999996,125.18299999999999,22.72400000000016,
38.0,0.0,11.782999999999447,35.38799999999992,32.6929999999993,36.068999999999505,42.27099999999973,44.009000000000015,55.16699999999946,62.3179999999993,61.55399999999918,63.134000000000015,71.8739999999998,82.34400000000005,75.51299999999992,87.76499999999942,77.97999999999956,134.67499999999927,126.10199999999986,23.596999999999753,
39.0,0.0,11.765999999999622,36.18499999999949,33.649999999999636,37.10099999999966,43.28099999999995,45.05799999999999,56.50500000000011,64.40899999999965,63.45399999999972,65.10699999999997,73.39899999999943,84.48499999999967,77.60199999999986,89.5029999999997,79.90200000000004,136.57600000000002,127.17900000000009,24.438000000000102,
40.0,0.0,11.938000000000102,36.45100000000002,34.29500000000007,37.65299999999934,44.25500000000011,46.20100000000002,69.9389999999994,77.17399999999998,76.6889999999994,78.51499999999942,90.21000000000004,105.34000000000015,94.20399999999972,111.25,96.41599999999926,167.60399999999936,158.2599999999993,23.409999999999854,
41.0,0.0,14.965000000000146,42.66899999999987,40.235999999999876,43.64899999999943,50.568999999999505,51.998999999999796,64.72499999999945,85.22299999999996,84.85300000000007,88.80199999999968,95.32899999999972,107.39199999999983,88.06800000000021,116.02999999999975,88.42099999999937,143.8139999999994,140.44899999999961,,
42.0,0.0,9.797999999999774,34.17900000000009,32.78700000000026,35.88600000000042,43.043000000000575,44.210000000000036,57.637000000000626,75.46700000000055,77.23999999999978,80.61499999999978,86.54200000000037,99.03899999999976,83.11700000000019,107.82200000000012,83.5010000000002,135.65800000000036,,,
43.0,0.0,9.461999999999534,34.19999999999982,33.1909999999998,36.10699999999997,43.456999999999425,44.80000000000018,58.55999999999949,74.51900000000023,77.49399999999969,80.7529999999997,86.45299999999952,99.09099999999944,86.40399999999954,107.72499999999945,84.92199999999957,135.45499999999993,,,
44.0,0.0,10.203999999999724,34.985999999999876,34.34400000000005,36.91899999999987,44.52000000000044,46.16100000000006,60.1919999999991,74.07500000000073,78.58499999999913,81.52700000000004,87.6239999999998,99.4429999999993,89.7559999999994,108.56500000000051,86.65999999999985,136.4380000000001,,,
45.0,0.0,10.11700000000019,35.902000000000044,36.89000000000124,37.56500000000051,44.72700000000077,46.46200000000135,60.86499999999978,73.246000000001,79.07300000000032,81.53300000000127,88.07099999999991,99.55400000000009,91.63000000000102,108.8640000000014,87.59500000000116,136.84900000000016,,,
46.0,0.0,10.672999999998865,36.288000000000466,38.03299999999945,38.64300000000003,45.58799999999974,47.332000000000335,61.99399999999878,72.58599999999933,79.94900000000052,82.09000000000015,89.8109999999997,100.4419999999991,93.79999999999927,112.13500000000022,89.22999999999956,137.8040000000001,,,
47.0,0.0,10.324999999998909,36.60499999999956,39.245999999999185,40.15099999999984,45.83599999999933,47.7549999999992,62.79999999999927,71.69700000000012,80.48499999999876,82.44000000000051,90.02900000000045,101.0619999999999,95.71199999999953,111.93199999999888,91.77399999999943,141.22799999999916,,,
48.0,0.0,10.265999999999622,36.469999999999345,40.225000000000364,41.076999999999316,46.365999999999985,48.35699999999997,63.38199999999961,71.14700000000084,81.2510000000002,82.76000000000022,90.17900000000009,101.7510000000002,99.23500000000058,112.10000000000036,93.45199999999932,171.21500000000015,,,
49.0,0.0,10.353000000000975,36.23400000000038,41.02800000000025,42.069000000001324,46.95499999999993,49.11300000000119,64.27000000000044,70.9880000000012,81.89800000000105,83.32600000000093,90.44200000000092,102.52800000000025,101.25799999999981,112.21500000000015,95.1180000000004,173.33300000000054,,,
50.0,0.0,10.834000000000742,35.31500000000051,41.38199999999961,42.58899999999994,47.09300000000076,49.246000000001004,64.72999999999956,70.28900000000067,82.34300000000076,83.70000000000073,90.48199999999997,103.59300000000076,103.09699999999975,112.20700000000033,97.76100000000042,171.34000000000015,,,
51.0,0.0,10.456000000000131,34.847999999999956,41.62700000000041,43.176000000001295,47.53200000000106,49.64400000000023,65.1190000000006,69.49700000000121,82.64300000000003,83.97900000000118,90.52700000000004,104.32300000000032,106.14500000000044,112.08600000000115,99.05299999999988,169.73500000000058,,,
52.0,0.0,10.59900000000016,34.939000000000306,42.19800000000032,44.06000000000131,48.19200000000092,50.314000000000306,66.14700000000084,69.46900000000096,83.58500000000095,84.65000000000146,91.0640000000003,105.36700000000019,109.5560000000005,113.08400000000074,100.84700000000157,168.96800000000076,,,
53.0,0.0,11.054000000000087,35.05899999999929,42.96799999999894,45.15799999999945,49.681000000000495,51.26499999999942,67.11299999999937,69.55799999999908,84.47299999999996,85.43499999999949,91.83599999999933,106.45899999999892,111.8159999999989,114.26100000000042,102.59100000000035,168.57799999999952,,,
54.0,0.0,11.67200000000048,35.97999999999956,43.98400000000038,46.556000000000495,50.600000000000364,52.51000000000022,68.17299999999886,70.10199999999895,85.57499999999891,86.47699999999895,93.09399999999914,109.43199999999888,114.02299999999923,116.04099999999926,107.8799999999992,171.6890000000003,,,
55.0,0.0,12.441999999999098,37.31999999999971,45.483000000000175,48.189000000000306,51.97899999999936,54.047999999998865,69.65799999999945,71.33899999999994,87.0560000000005,88.10000000000036,95.08799999999974,111.5560000000005,116.94000000000051,118.28299999999945,139.23099999999977,200.21399999999994,,,
