,VER,LEC,PER,OCO,STR,SAI,HAM,RUS,ALO,PIA,GAS,ALB,MAG,RIC,ZHO,SAR,BOT,TSU,HUL,NOR
32.0,2.893000000000029,0.5050000000001091,0.0,5.119000000000597,7.03400000000056,8.666000000000167,12.163000000000466,7.78400000000056,9.11999999999989,1.4080000000003565,4.690000000000509,6.265000000000327,11.941000000000713,15.583000000000538,9.975000000000364,10.72900000000027,19.86700000000019,22.55500000000029,14.055000000000291,
33.0,2.4769999999998618,0.8299999999999272,0.0,5.5649999999996,7.643999999999323,9.70299999999952,12.587999999999738,8.804999999999382,10.398999999999432,3.2849999999998545,5.482999999999265,7.041999999999462,12.96099999999933,17.100999999999658,11.005999999999403,11.969999999999345,24.146999999999935,25.83299999999963,15.17199999999957,
34.0,2.009999999999309,0.6909999999998035,0.0,6.548999999999978,8.600999999999658,10.365999999999985,12.902000000000044,9.555999999999585,11.329999999999927,3.790999999999258,7.242999999999483,8.175999999999476,14.868999999999687,18.402000000000044,12.027000000000044,13.947000000000116,28.534999999999854,29.34099999999944,16.38000000000011,
35.0,0.9110000000000582,0.0,0.3679999999994834,6.6599999999998545,9.149999999999636,10.643000000000029,12.439000000000306,10.072000000000116,11.605999999999767,3.45299999999952,7.432999999999993,9.231999999999971,15.689000000000306,18.957000000000335,12.27099999999973,14.524000000000342,32.21699999999964,32.56999999999971,16.939000000000306,
36.0,0.625,0.0,1.3760000000002037,7.1599999999998545,9.945999999999913,11.975000000000364,13.842999999999847,11.623999999999796,12.84100000000035,3.7399999999997817,7.997000000000298,11.161000000000058,16.847999999999956,20.15599999999995,13.605999999999767,16.159999999999854,37.39599999999973,36.21699999999964,18.13299999999981,
37.0,0.0,0.6440000000002328,1.1459999999997308,6.918999999999869,9.895000000000437,12.547999999999774,13.947000000000116,12.34900000000016,13.4350000000004,3.9390000000003056,7.625,11.975000000000364,18.177999999999884,20.27099999999973,14.740999999999985,17.569000000000415,41.74300000000039,37.76800000000003,18.725000000000364,
38.0,0.0,0.8000000000001819,1.5559999999995853,7.782999999999447,10.648000000000138,14.746000000000095,15.673999999999978,14.194999999999709,15.094000000000051,5.041000000000167,8.528999999999542,13.662999999999556,20.761999999999716,22.304000000000087,17.024999999999636,20.079999999999927,46.141999999999825,40.625,21.16699999999946,
39.0,0.0,1.0029999999997017,1.73700000000008,8.75,11.52599999999984,16.949999999999818,17.482999999999265,15.665999999999258,17.203999999999724,6.253999999999905,10.193999999999505,16.376999999999498,22.98700000000008,24.453999999999724,19.97699999999986,22.445999999999913,51.172999999999774,43.375999999999294,23.451000000000022,
40.0,0.0,1.1270000000004075,1.6790000000000873,9.943000000000211,12.46100000000024,18.194000000000415,20.01000000000022,16.32300000000032,18.835000000000036,7.480000000000473,11.985999999999876,21.550000000000182,25.67700000000059,27.14300000000003,22.731000000000677,26.230000000000473,55.52300000000014,45.77000000000044,26.62800000000061,
41.0,0.0,1.6640000000006694,2.04700000000048,11.63000000000011,14.282000000000153,19.07800000000043,20.639000000000124,17.095000000000255,19.619000000000597,8.967999999999847,14.826000000000022,24.97900000000027,28.212000000000444,30.182999999999993,25.429000000000087,29.00500000000011,60.19599999999991,47.85400000000027,29.470000000000255,
