,DriverNumber,Abbreviation,DriverId,TeamName,TeamColor,TeamId,Position,ClassifiedPosition,Q1,Q2,Q3,Time,Event_Name
108,14,ALO,alonso,Alpine,0090FF,alpine,9.0,,0 days 00:01:42.934000,0 days 00:01:42.195000,0 days 00:01:42.327000,,Azerbaijan Grand Prix
109,77,BOT,bottas,Mercedes,00D2BE,mercedes,10.0,,0 days 00:01:42.701000,0 days 00:01:42.106000,0 days 00:01:42.659000,,Azerbaijan Grand Prix
110,5,VET,vettel,Aston Martin,006F62,aston_martin,11.0,,0 days 00:01:42.460000,0 days 00:01:42.224000,,,Azerbaijan Grand Prix
111,31,OCO,ocon,Alpine,0090FF,alpine,12.0,,0 days 00:01:42.426000,0 days 00:01:42.273000,,,Azerbaijan Grand Prix
112,3,RIC,ricciardo,McLaren,FF9800,mclaren,13.0,,0 days 00:01:42.304000,0 days 00:01:42.558000,,,Azerbaijan Grand Prix
113,7,RAI,raikkonen,Alfa Romeo Racing,900000,alfa,14.0,,0 days 00:01:42.923000,0 days 00:01:42.587000,,,Azerbaijan Grand Prix
114,63,RUS,russell,Williams,005AFF,williams,15.0,,0 days 00:01:42.728000,0 days 00:01:42.758000,,,Azerbaijan Grand Prix
115,6,LAT,latifi,Williams,005AFF,williams,16.0,,0 days 00:01:43.128000,,,,Azerbaijan Grand Prix
116,47,MSC,mick_schumacher,Haas F1 Team,FFFFFF,haas,17.0,,0 days 00:01:44.158000,,,,Azerbaijan Grand Prix
117,9,MAZ,mazepin,Haas F1 Team,FFFFFF,haas,18.0,,0 days 00:01:44.238000,,,,Azerbaijan Grand Prix
118,18,STR,stroll,Aston Martin,006F62,aston_martin,19.0,,,,,,Azerbaijan Grand Prix
119,99,GIO,giovinazzi,Alfa Romeo Racing,900000,alfa,20.0,,,,,,Azerbaijan Grand Prix
